,Contract,Title,Type of contract,Short description,Total value,Place of performance,Contractor,Notice dispatch date,Short description tokenized
10,010629-2018,"Trial of MALE RPAS in a long term Maritime Aerial Border Surveillance, up to 600 flying hours in designated areas of the Mediterranean Sea, along Q2-Q4 of 2018",SERVICES,Frontex seeks to sign contract to conduct the trial of long endurance maritime surveillance with MALE RPAS. The platform will fly up to 600 hours over a period of 120 calendar days in 2018. The trial will take place in areas of the Mediterranean Sea designated by Frontex in cooperation with one or more host Member States within the time frame of Q2-Q4 2018.,4750000.0,00,"['Israel Aerospace Industries Limited, Malat Division']",2018-01-04,frontex seek sign contract conduct trial long endurance maritime surveillance male rpas platform fly 600 hour period 120 calendar day 2018 trial place area mediterranean sea designate frontex cooperation host member states time frame q2 - q4 2018
11,010629-2018,"Trial of small MALE RPAS in a long term Maritime Aerial Border Surveillance, up to 300 flying hours in designated areas of the Mediterranean Sea, along Q2-Q4 of 2018.",SERVICES,Frontex seeks to sign contract to conduct the trial of long endurance maritime surveillance with small MALE RPAS. The platform will fly up to 300 hours over a period of 120 calendar days in 2018. The trial will take place in areas of the Mediterranean Sea designated by Frontex in cooperation with one or more host Member States within the time frame of Q2-Q4 2018.,1697000.0,00,['Leonardo SPA'],2018-01-04,frontex seek sign contract conduct trial long endurance maritime surveillance small male rpas platform fly 300 hour period 120 calendar day 2018 trial place area mediterranean sea designate frontex cooperation host member states time frame q2 - q4 2018
12,022822-2019,Domestic Courier Services on the Territory of Poland,SERVICES,Domestic courier services on the territory of Poland.,10000.0,PL,['TNT Express Worldwide (Poland) sp. z o.o.'],2019-01-10,domestic courier service territory poland
13,022822-2019,International Export/Import Courier Services,SERVICES,International export/import courier services.,3040000.0,00,['TNT Express Worldwide (Poland) sp. z o.o.'],2019-01-10,international export / import courier service
14,022823-2019,Framework Contract for Procurement of Crisis Management Consultancy,SERVICES,"The scope of the 4-year-framework contract is to deliver 2 annual Crisis Management Exercises (CME) which shall include a crisis communication component, comprising 1 fully-fledged exercise and 1 table top exercise for internal stakeholders, as well as to train Frontex personnel and test organizational preparedness for crises. This shall include the delivery of a briefing to staff involved in exercises, so the annual training sessions to the crisis management teams including support staff and annual awareness session to Frontex staff on crisis management shall be delivered prior the exercise in a timely manner.",349779.18,PL911,"['Ricardo Nederland BV', 'Ricardo-AEA Ltd']",2019-01-10,scope 4 year framework contract deliver 2 annual crisis management exercise cme shall include crisis communication component comprise 1 fully fledge exercise 1 table exercise internal stakeholder train frontex personnel test organizational preparedness crisis shall include delivery briefing staff involve exercise annual training session crisis management team including support staff annual awareness session frontex staff crisis management shall deliver prior exercise timely manner
15,022824-2019,Framework Contract for the Development of ICT Software Solution for the Management of Frontex Operational Resources – Opera system,SERVICES,"The subject of the contract is development of ICT software solution for the management of Frontex operational resources (evolution of the current Opera system) — hereinafter defined as Opera system, including the deliverables related to its design, development, testing, deployment, data migration and training for the users (internal and external) and administrators, as described in the terms of reference (Annex II to the invitation to tender).",8000000.0,PL911,['Asseco Poland SA'],2019-01-10,subject contract development ict software solution management frontex operational resource evolution current opera system hereinafter define opera system include deliverable relate design development testing deployment datum migration training user internal external administrator describe term reference annex ii invitation tender
16,022825-2019,Provision of Cleaning Services for Frontex,SERVICES,"Provision of cleaning services at Frontex headquarter in Warsaw, Poland.",1200000.0,PL911,['DC System Company Sp z oo'],2019-01-10,provision cleaning service frontex headquarter warsaw poland
17,022826-2019,Electronic Devices,SERVICES,"Delivery of electronic devices: power banks, bluetooth loudspeakers, USB flash drives etc.",200000.0,PL,"['Andree Group Andrzej Toffel', 'Decuatro Marketing Promocional S.L.', 'IGEP SA/NV']",2019-01-10,delivery electronic device power bank bluetooth loudspeaker usb flash drive etc
18,022827-2019,Maritime Surveillance Aerostat Trial,SERVICES,"The global objective of this tender is to lease one surveillance aerostat to carry out a pilot project, supported by a host Member State: Greece, aiming to assess the capacity and cost efficiency of aerostat performing maritime surveillance in an operational environment. The scope of the tender is then to establish a service contract to deploy, operate and assess for a period of minimum of three weeks one surveillance aerostat, including in the contract the provision of the equipment and experts to conduct the trial.",481600.0,EL,['IN-innovative navigation GmbH'],2019-01-10,global objective tender lease surveillance aerostat carry pilot project support host member state greece aiming assess capacity cost efficiency aerostat performing maritime surveillance operational environment scope tender establish service contract deploy operate assess period minimum week surveillance aerostat include contract provision equipment expert conduct trial
19,022994-2017,Amendment No 1 to the contract ‘MyFrontex digital workplace (COTS-based intranet)’,SERVICES,Amendment No 1 to the contract ‘MyFrontex digital workplace (COTS-based intranet)’ Frontex/37/2016/JL by adding 2 new modules to the scope of the contractual services: module on complaints mechanism and module on HR recruitment tool.,189630.0,PL127,['Netcompany IT and Business Consulting A/S'],2017-01-11,amendment 1 contract myfrontex digital workplace cots base intranet frontex/37/2016 / jl add 2 new module scope contractual service module complaint mechanism module hr recruitment tool
20,024591-2018,Technical Support for Testing and Evaluation of a New Copernicus Service,SERVICES,The subject of the contract is provision of technical support for testing and evaluation of a New Copernicus Service as described in the terms of reference (Annex II to the invitation to tender).,369000.0,PL,"['e-GEOS SPA', 'Telespazio France SAS']",2018-01-12,subject contract provision technical support testing evaluation new copernicus service describe term reference annex ii invitation tender
21,025283-2017,Purchase of the digital surface model along the EU borders,SERVICES,Purchase of a set of digital surface model (DSM) spatial data which can be used for analyses and visualisations.,228600.0,PL127,['GAF AG'],2017-01-12,purchase set digital surface model dsm spatial datum use analysis visualisation
22,041988-2019,Framework Contract for the acquisition of SAS software licences,SERVICES,"The subject of this Contract is provision of SAS Software licenses under FWC. The tenderer was requested to provide the following services and supplies: A. Renewal fee (RF) for Frontex’ core SAS system licenses (a) The proposal shall contain a detailed specification of SAS Software and subcomponents including the number of related software licenses which compose Frontex’ core SAS system. (b) The proposal shall contain only Renewal Fee (RF). B. Proposal containing an additional sets of SAS Software licenses to supplement Frontex’ core SAS system in order to increase its processing capacity and/or availability. (a) The Tenderer is requested to propose the technically applicable solutions only. (b) The proposal shall contain a detailed specification of SAS Software and subcomponents including the number of related software licenses which are needed to achieve the planned increase of a processing capacity and/or availability. (c) Tenderer is requested to propose a few technically applicable variants enabling an increase of processing capacity and/or availability by e.g.: 10 %, 20 % and 50 %. The variants should be clearly described and marked in technical proposal and in financial proposal as B1, B2, etc. (d) The proposal shall contain both types of prices: First Year Fee (FYF) and Renewal Fee (RF). (e) If needed the proposal should contain a price of a relevant installation service. C. Proposal containing additional sets of licenses for SAS Software and its subcomponents, in order to extend Frontex’ core SAS system by introducing other SAS Software products To extend the current Frontex’ core SAS system by additional software modules and the related subcomponents enabling better data governance by integrated, enterprise-class, modern ETL tool that supports GUI-based development. The Tenderer is requested to propose sets of software licenses for: (i) SAS Data Integration (ii) SAS Data Quality The sets should be clearly described and marked in technical proposal and in financial proposal as C1 and C2. (a) The proposed sets of software licenses must be fully compliant with Frontex’ core SAS system i.e. must be technically applicable to this system. (b) The proposal must contain a list of all the mandatory requirements/conditions to be met in order to implement an extension (e.g. minimum technical requirements for servers, etc.). (c) The proposal shall be adequate to Frontex core SAS system in terms of its scale and amounts of data processed as well as to fit for purpose. (d) The proposed components’ implementation, deployment and expected daily workload cannot introduce negative impact on the existing Frontex SAS system solutions’ effectiveness (e.g. response times, data processing performance, storage capacity, reports accessibility and interactivity). (e) The proposed solution should enable a justifiable growth of the system utilization due to potentially increased volume of data, increased number of users, new areas of system’s application, etc. (f) The proposed components’ selection as well as proposed number of licenses shall be briefly justified in the proposal. (g) The proposal shall contain a detailed specification of SAS Software and subcomponents including the number of related software licenses which are needed to extend Frontex’ core SAS system by the intended functionality. (h) The proposal shall contain both types of prices: First Year Fee (FYF) and Renewal Fee (RF). (i) If needed the proposal should contain a price of a relevant installation service.",1350000.0,PL,['SAS Institute Polska Sp. z o.o.'],2019-01-17,subject contract provision sas software license fwc tenderer request provide following service supply a. renewal fee rf frontex core sas system license proposal shall contain detailed specification sas software subcomponent including number related software license compose frontex core sas system b proposal shall contain renewal fee rf b. proposal contain additional set sas software license supplement frontex core sas system order increase processing capacity and/or availability tenderer request propose technically applicable solution b proposal shall contain detailed specification sas software subcomponent include number related software license need achieve plan increase processing capacity and/or availability c tenderer request propose technically applicable variant enable increase processing capacity and/or availability e.g. 10 % 20 % 50 % variant clearly describe mark technical proposal financial proposal b1 b2 etc d proposal shall contain type price year fee fyf renewal fee rf e need proposal contain price relevant installation service proposal containing additional set license sas software subcomponent order extend frontex core sas system introducing sas software product extend current frontex core sas system additional software module relate subcomponent enable datum governance integrate enterprise class modern etl tool support gui base development tenderer request propose set software license sas data integration ii sas data quality set clearly describe mark technical proposal financial proposal c1 c2 propose set software license fully compliant frontex core sas system i.e. technically applicable system b proposal contain list mandatory requirement / condition meet order implement extension e.g. minimum technical requirement server etc c proposal shall adequate frontex core sas system term scale datum process fit purpose d propose component implementation deployment expect daily workload introduce negative impact exist frontex sas system solution effectiveness e.g. response time datum processing performance storage capacity report accessibility interactivity e propose solution enable justifiable growth system utilization potentially increase volume datum increase number user new area system application etc . f propose component selection propose number license shall briefly justify proposal g proposal shall contain detailed specification sas software subcomponent including number related software license need extend frontex core sas system intend functionality h proposal shall contain type price year fee fyf renewal fee rf need proposal contain price relevant installation service
23,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,['ARHS Developments S.A.'],2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
24,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,"['Consortium ATOS POLSKA S.A. (leader)', 'UNI Systems Information Technology Systems Commercial S.M.S.A. (Partner)', 'UNI Systems Luxembourg S.a.r.l. (Partner)', 'Computer Resources International S.A. (Partner)']",2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
25,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,['Avalon Tecnologías de la Información S.L.'],2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
26,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,['Engineering Ingegneria Informatica S.P.A.'],2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
27,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,['Fabrity SP. Z O.O.'],2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
28,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,['JIT Team SP. Z O.O.'],2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
29,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,"['Hellenic Telecommunications Organization S.A. – OTE S.A. (Leader)', 'FINCONS S.P.A. (Partner)']",2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
30,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,"['PWC EU Services EESV (Leader)', 'PWC IT Services SP. Z O.O. (Partner)']",2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
31,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,['Soitron Group SE'],2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
32,048750-2021,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",SERVICES,"Services may concern: systems, applications, infrastructure, projects, processes, maintenance and support. Services may address the current technologies as well as legacy technologies and the new emerging technologies. Services may fall under one of the following domains (not exhaustively listed): — computer software design, development and implementation,; — software applications maintenance and support; — IT systems administration and maintenance; — end-users support. The services will involve activities such as (not exhaustively listed): project management, pre-analysis, feasibility studies, proof of concept, analysis, advice, IT architecture activities, design, programming, testing, installation, integration and adaptation, IT solutions maintenance, systems administration, customisation, configuration, documentation, data entry, training, quality check, end-user assistance, logistics, maintenance and support of ICT infrastructure, transfer of knowledge and information systems consultancy services. The services will be executed by contractor’s personnel in time and means mode, on-site (intra muros), on the basis of specific contracts implementing the framework contract.",34000000.0,PL,['Trasys International G.E.I.E.'],2021-01-20,service concern system application infrastructure project process maintenance support service address current technology legacy technology new emerging technology service fall follow domain exhaustively list computer software design development implementation software application maintenance support system administration maintenance end user support service involve activity exhaustively list project management pre - analysis feasibility study proof concept analysis advice architecture activity design programming testing installation integration adaptation solution maintenance system administration customisation configuration documentation datum entry training quality check end user assistance logistics maintenance support ict infrastructure transfer knowledge information system consultancy service service execute contractor personnel time mean mode site intra muros basis specific contract implement framework contract
33,050127-2020,Land Aerial Surveillance,SERVICES,"Award of the contract without prior publication of a call for competition in the Official Journal of the European Union. Services or works consisting in the repetition of similar services or works provided these are in conformity with a basic project as per point 11.1 (e) Annex 1 FR (can be used only within 3 years of the contract and only if the possibility to use this negotiated procedure was announced from the outset of the initial procedure) — this legal basis is used to increase the ceiling of this framework contract, Lot 6.",6750000.0,00,"['CAE Aviation', 'DEA Aviation Ltd', 'EASP Air BV']",2020-01-27,award contract prior publication competition official journal european union service work consist repetition similar service work provide conformity basic project point 11.1 e annex 1 fr use 3 year contract possibility use negotiate procedure announce outset initial procedure legal basis use increase ceiling framework contract lot 6
